Cntry,LegEnvt,GeogZone1,IntalCCY,GdpGwth,Year,FxRate,InflatioIndx,OECDSTInterbkRate,M3
Australia,Common Wealth,Asia & Pacific,AUD,4.127,1981,0.8866,34.7695088882193,,5.506837
Australia,Common Wealth,Asia & Pacific,AUD,0.063,1982,1.01978,38.71648086773121,,6.123012999999999
Australia,Common Wealth,Asia & Pacific,AUD,-0.474,1983,1.10865,42.6031937330521,,6.912350999999999
Australia,Common Wealth,Asia & Pacific,AUD,6.346,1984,1.20802,44.29044893040071,,7.853289999999999
Australia,Common Wealth,Asia & Pacific,AUD,5.456,1985,1.46864,47.273275082856294,,9.09878
Australia,Common Wealth,Asia & Pacific,AUD,2.448,1986,1.50421,51.5516721904188,,10.09699
Australia,Common Wealth,Asia & Pacific,AUD,4.893,1987,1.38408,55.9505875263634,,11.158539999999999
Australia,Common Wealth,Asia & Pacific,AUD,4.253,1988,1.1689100000000001,59.9879481771618,,12.59707
Australia,Common Wealth,Asia & Pacific,AUD,4.569,1989,1.2615100000000001,64.5073817414884,,15.44178
Australia,Common Wealth,Asia & Pacific,AUD,1.5030000000000001,1990,1.29316,69.23772220548359,12.58,17.49278
Australia,Common Wealth,Asia & Pacific,AUD,-1.113,1991,1.3161399999999999,71.4371798734559,8.5,18.44012
Australia,Common Wealth,Asia & Pacific,AUD,2.6519999999999997,1992,1.45222,72.1602892437481,5.75,19.060679999999998
Australia,Common Wealth,Asia & Pacific,AUD,3.949,1993,1.47689,73.4257306417596,4.75,20.11178
Australia,Common Wealth,Asia & Pacific,AUD,4.888,1994,1.2873299999999999,74.8719493823441,7.05,21.65374
Australia,Common Wealth,Asia & Pacific,AUD,2.955,1995,1.34228,78.3368484483278,7.5,23.47127
Australia,Common Wealth,Asia & Pacific,AUD,4.298,1996,1.25549,80.3856583308225,6.18,25.63917
Australia,Common Wealth,Asia & Pacific,AUD,4.164,1997,1.5321,80.5664356733956,5.0,27.79393
Australia,Common Wealth,Asia & Pacific,AUD,4.8660000000000005,1998,1.62893,81.25941548659229,4.76,29.694000000000003
Australia,Common Wealth,Asia & Pacific,AUD,4.244,1999,1.52952,82.4645977704128,5.0,32.46965
Australia,Common Wealth,Asia & Pacific,AUD,3.0860000000000003,2000,1.80505,86.1404037360651,6.25,34.83396
Australia,Common Wealth,Asia & Pacific,AUD,2.576,2001,1.95848,89.93672793009941,4.28,37.78581
Australia,Common Wealth,Asia & Pacific,AUD,3.9960000000000004,2002,1.76616,92.6182585115999,4.75,41.2494
Australia,Common Wealth,Asia & Pacific,AUD,3.0210000000000004,2003,1.33333,95.1491413076228,5.23,45.47874
Australia,Common Wealth,Asia & Pacific,AUD,4.0360000000000005,2004,1.2837,97.3787285326906,5.25,50.27945
Australia,Common Wealth,Asia & Pacific,AUD,3.213,2005,1.36295,100.0,5.5,54.4906
Australia,Common Wealth,Asia & Pacific,AUD,2.654,2006,1.2637399999999999,103.55528773726999,6.25,60.350840000000005
Australia,Common Wealth,Asia & Pacific,AUD,4.52,2007,1.1343,105.965652304911,6.75,70.57585
Australia,Common Wealth,Asia & Pacific,AUD,2.675,2008,1.4434200000000001,110.57547454052401,4.35,84.59696
Australia,Common Wealth,Asia & Pacific,AUD,1.565,2009,1.11495,112.533895751732,3.74,94.65486999999999
Australia,Common Wealth,Asia & Pacific,AUD,2.259,2010,0.9839600000000001,115.818017475143,4.75,100.0
Australia,Common Wealth,Asia & Pacific,AUD,2.721,2011,0.98464,119.644471226273,4.3,109.6543
Australia,Common Wealth,Asia & Pacific,AUD,3.6,2012,0.9610799999999999,121.753540222959,3.03,118.2895
Australia,Common Wealth,Asia & Pacific,AUD,2.057,2013,1.1280299999999999,124.73636637541401,2.5,126.1671
Australia,Common Wealth,Asia & Pacific,AUD,2.616,2014,1.2192100000000001,128.116902681531,2.5,135.2948
Australia,Common Wealth,Asia & Pacific,AUD,2.479,2015,1.36874,131.50587526363398,2.0,144.4927
Austria,German assimilated,Europe,EUR,3.4419999999999997,1991,0.7767999244202521,76.892,,32.367329999999995
Austria,German assimilated,Europe,EUR,2.094,1992,0.8251273591418791,79.525,,34.91829
Austria,German assimilated,Europe,EUR,0.527,1993,0.8824662253003199,82.1,,37.35133
Austria,German assimilated,Europe,EUR,2.4019999999999997,1994,0.7971483179872529,84.325,5.24,39.12202
Austria,German assimilated,Europe,EUR,2.668,1995,0.733123551085369,85.675,5.62,40.34724
Austria,German assimilated,Europe,EUR,2.398,1996,0.796058225474735,87.211,4.04,42.52234
Austria,German assimilated,Europe,EUR,2.205,1997,0.918075914042572,88.22,3.98,44.252959999999995
Austria,German assimilated,Europe,EUR,3.56,1998,0.853687782969848,88.947,3.09,46.53604
Austria,German assimilated,Europe,EUR,3.59,1999,0.9954200000000001,89.405,3.0418,48.73471
Austria,German assimilated,Europe,EUR,3.3680000000000003,2000,1.07469,91.15700000000001,4.8268,51.52342
Austria,German assimilated,Europe,EUR,1.351,2001,1.13469,93.24799999999999,3.3389,55.700219999999995
Austria,German assimilated,Europe,EUR,1.656,2002,0.9535600000000001,94.833,3.0945,59.7446
Austria,German assimilated,Europe,EUR,0.7559999999999999,2003,0.79177,96.06299999999999,2.0567,64.32502
Austria,German assimilated,Europe,EUR,2.7060000000000004,2004,0.73416,97.936,2.0535,67.96205
Austria,German assimilated,Europe,EUR,2.141,2005,0.84767,100.0,2.2757,73.11236
Austria,German assimilated,Europe,EUR,3.3510000000000004,2006,0.7593,101.69,3.5011,79.42214
Austria,German assimilated,Europe,EUR,3.622,2007,0.6793,103.93,3.8791,88.23994
Austria,German assimilated,Europe,EUR,1.547,2008,0.71855,107.28,2.4864,97.42315
Austria,German assimilated,Europe,EUR,-3.799,2009,0.69416,107.71,0.3546,101.1369
Austria,German assimilated,Europe,EUR,1.88,2010,0.74839,109.53,0.4981,100.0
Austria,German assimilated,Europe,EUR,3.071,2011,0.77286,113.42,0.627,100.9925
Austria,German assimilated,Europe,EUR,0.884,2012,0.7579199999999999,116.34,0.0734,103.7464
Austria,German assimilated,Europe,EUR,0.228,2013,0.72511,118.803,0.1687,105.6852
Austria,German assimilated,Europe,EUR,2.3409999999999997,1986,0.996344556441357,68.696,,20.891479999999998
Austria,German assimilated,Europe,EUR,1.681,1987,0.817569384388422,69.663,,22.5295
Austria,German assimilated,Europe,EUR,0.961,1988,0.913134161319157,70.964,,24.35963
Austria,German assimilated,Europe,EUR,3.887,1989,0.8586295356932621,72.561,,26.60067
Austria,German assimilated,Europe,EUR,4.346,1990,0.7759278504102379,74.567,,29.539990000000003
Austria,German assimilated,Europe,EUR,0.353,2014,0.8236600000000001,120.87100000000001,-0.0301,107.4903
Austria,German assimilated,Europe,EUR,0.8759999999999999,2015,0.91853,122.925,-0.19899999999999998,114.0445
Belgium,French Civil Assimilated,Europe,EUR,1.551,1996,0.7933832260367529,85.25399999999999,4.04,42.52234
Belgium,French Civil Assimilated,Europe,EUR,3.7430000000000003,1997,0.9152228934628001,86.531,3.98,44.252959999999995
Belgium,French Civil Assimilated,Europe,EUR,2.006,1998,0.857091861903475,87.32,3.09,46.53604
Belgium,French Civil Assimilated,Europe,EUR,3.716,1999,0.9954200000000001,88.307,3.0418,48.73471
Belgium,French Civil Assimilated,Europe,EUR,3.55,2000,1.07469,90.67200000000001,4.8268,51.52342
Belgium,French Civil Assimilated,Europe,EUR,0.924,2001,1.13469,92.882,3.3389,55.700219999999995
Belgium,French Civil Assimilated,Europe,EUR,1.5590000000000002,2002,0.9535600000000001,94.324,3.0945,59.7446
Belgium,French Civil Assimilated,Europe,EUR,0.89,2003,0.79177,95.74700000000001,2.0567,64.32502
Belgium,French Civil Assimilated,Europe,EUR,3.4339999999999997,2004,0.73416,97.52799999999999,2.0535,67.96205
Belgium,French Civil Assimilated,Europe,EUR,1.8940000000000001,2005,0.84767,99.999,2.2757,73.11236
Belgium,French Civil Assimilated,Europe,EUR,2.63,2006,0.7593,102.334,3.5011,79.42214
